station_name,lon_x,lat_x,company_name_r
函館,140.726413,41.773709,JR北海道
五稜郭,140.733539,41.803557,JR北海道
桔梗,140.722952,41.846457,JR北海道
大中山,140.71358,41.864641,JR北海道
七飯,140.688556,41.886971,JR北海道
新函館北斗,140.646525,41.9054,JR北海道
仁山,140.635183,41.930011,JR北海道
大沼,140.669347,41.971954,JR北海道
大沼公園,140.669758,41.980958,JR北海道
赤井川,140.642678,42.003267,JR北海道
駒ケ岳,140.610476,42.038809,JR北海道
東山,140.605222,42.06172,JR北海道
姫川,140.591632,42.081312,JR北海道
池田園,140.700333,41.990692,JR北海道
流山温泉,140.716358,42.003483,JR北海道
銚子口,140.720656,42.015471,JR北海道
鹿部,140.771393,42.06439,JR北海道
渡島沼尻,140.747596,42.10706,JR北海道
渡島砂原,140.689451,42.12164,JR北海道
掛澗,140.64598,42.119205,JR北海道
尾白内,140.613449,42.111232,JR北海道
東森,140.59353,42.106823,JR北海道
森,140.573846,42.108917,JR北海道
桂川,140.5427876,42.1156004,JR北海道
石谷,140.506525,42.135519,JR北海道
本石倉,140.471957,42.159668,JR北海道
石倉,140.458436,42.17285,JR北海道
落部,140.420755,42.187617,JR北海道
野田生,140.37586,42.217104,JR北海道
山越,140.326593,42.231172,JR北海道
八雲,140.273342,42.253391,JR北海道
鷲ノ巣,140.269919,42.278389,JR北海道
山崎,140.2746,42.314635,JR北海道
黒岩,140.288173,42.368296,JR北海道
北豊津,140.297868,42.400969,JR北海道
国縫,140.320885,42.439319,JR北海道
中ノ沢,140.346077,42.477928,JR北海道
長万部,140.37507,42.512477,JR北海道
二股,140.320821,42.575869,JR北海道
蕨岱,140.313353,42.626353,JR北海道
黒松内,140.305704,42.669608,JR北海道
熱郛,140.375084,42.675653,JR北海道
目名,140.465742,42.761432,JR北海道
蘭越,140.52894,42.804542,JR北海道
昆布,140.596107,42.797984,JR北海道
ニセコ,140.684588,42.808746,JR北海道
比羅夫,140.722615,42.84856,JR北海道
倶知安,140.745471,42.90164,JR北海道
小沢,140.677657,42.97185,JR北海道
銀山,140.715321,43.040888,JR北海道
然別,140.737211,43.12551,JR北海道
