,日付,番号,Unnamed: 2,線路,車種,Unnamed: 5,Unnamed: 6,始発駅,終着駅,会社,乗車駅,会社.1,到着駅,Unnamed: 13,発時,Unnamed: 15,着時,Unnamed: 17,時間,席别,会社.2,Unnamed: 21,Unnamed: 22,車両,会社.3,速度,station_name_x,lon_x_x,lat_x_x,company_name_r_x,station_name_y,lon_x_y,lat_x_y,company_name_r_y
0,2015.08.16,2036M,ＪＲ,成田線総武線横須賀線,特急,成田エクスプレス,36.0,成田空港（第１旅客ターミナル）,大船,JR東日本,成田空港（第１旅客ターミナル）,JR東日本,品川,85.99999999999999,16:19:00,,17:26:00,,01:07:00,指定席,JR東日本,E259,,クハE258-14,JR東日本,77.0149253731344,成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,品川,139.738999,35.62876,JR東日本
1,2015.08.17,1034N,私鉄,京急本線京急空港線,快特,,,成田空港（第１旅客ターミナル）,羽田空港国内線ターミナル,京急,品川,京急,羽田空港国内線ターミナル,14.5,12:12:00,,12:28:00,,00:16:00,自由席,京浜急行電鉄,,,,京浜急行電鉄,54.37499999999965,品川,139.73809,35.628284,京急,羽田空港国内線ターミナル,139.785962,35.549809,京急
2,2015.08.17,1202,モノレール,東京モノレール羽田空港線,普通,,,羽田空港第２ビル,浜松町,東京モノレール,羽田空港第１ビル,東京モノレール,新整備場,0.8,12:36:00,,12:37:00,,00:01:00,自由席,東京モノレール,,,,東京モノレール,48.00000000000017,羽田空港第１ビル,139.784653,35.549163,東京モノレール,新整備場,139.786777,35.542773,東京モノレール
3,2015.08.17,1504H,モノレール,東京モノレール羽田空港線,普通,,,羽田空港第２ビル,浜松町,東京モノレール,新整備場,東京モノレール,羽田空港国際線ビル,2.2,15:07:00,,15:10:00,,00:03:00,自由席,東京モノレール,,,,東京モノレール,44.00000000000016,新整備場,139.786777,35.542773,東京モノレール,羽田空港国際線ビル,139.768206,35.544169,東京モノレール
4,2015.08.17,G1522,モノレール,東京モノレール羽田空港線,空港快速,,,羽田空港第２ビル,浜松町,東京モノレール,羽田空港国際線ビル,東京モノレール,浜松町,14.0,15:14:00,,15:32:00,,00:18:00,自由席,東京モノレール,,,10016,東京モノレール,46.66666666666642,羽田空港国際線ビル,139.768206,35.544169,東京モノレール,浜松町,139.756747,35.655666,東京モノレール
5,2015.08.17,1510G,ＪＲ,山手線,普通,,,大崎,内回り,JR東日本,浜松町,JR東日本,上野,6.7,15:28:00,,15:42:00,,00:14:00,自由席,JR東日本,E231,500.0,,JR東日本,28.71428571428582,浜松町,139.757135,35.65539099999999,JR東日本,上野,139.777043,35.71379,JR東日本
6,2015.08.17,1600G,ＪＲ,山手線,普通,,,大崎,内回り,JR東日本,上野,JR東日本,池袋,8.7,16:38:00,,16:54:00,,00:16:00,自由席,JR東日本,E231,500.0,,JR東日本,32.625000000000114,上野,139.777043,35.71379,JR東日本,池袋,139.711086,35.730256,JR東日本
7,2015.08.17,1714G1814G,ＪＲ,山手線,普通,,,大崎,内回り,JR東日本,池袋,JR東日本,品川,15.4,18:31:00,,19:00:00,,00:29:00,自由席,JR東日本,E231,500.0,,JR東日本,31.86206896551718,池袋,139.711086,35.730256,JR東日本,品川,139.738999,35.62876,JR東日本
8,2015.08.18,1124G,ＪＲ,山手線,普通,,,大崎,内回り,JR東日本,品川,JR東日本,秋葉原,8.8,10:53:00,,11:08:00,,00:15:00,自由席,JR東日本,E231,500.0,クハE231-534,JR東日本,35.200000000000124,品川,139.738999,35.62876,JR東日本,秋葉原,139.773288,35.698619,JR東日本
9,2015.08.18,2037G,ＪＲ,山手線,普通,,,大崎,外回り,JR東日本,秋葉原,JR東日本,品川,8.8,21:07:00,,21:23:00,,00:16:00,自由席,JR東日本,E231,500.0,,JR東日本,33.00000000000012,秋葉原,139.773288,35.698619,JR東日本,品川,139.738999,35.62876,JR東日本
