station_name_x,lon_x,lat_x,company_name_r_x,station_name_y,lon_y,lat_y,company_name_r_y,type,service,distance,seat
成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,特急,86,指定席
品川,139.73809,35.628284,京急,羽田空港国内線ターミナル,139.785962,35.549809,京急,私鉄,快特,14.5,自由席
羽田空港第１ビル,139.784653,35.549163,東京モノレール,新整備場,139.786777,35.542773,東京モノレール,モノレール,普通,0.8,自由席
新整備場,139.786777,35.542773,東京モノレール,羽田空港国際線ビル,139.768206,35.544169,東京モノレール,モノレール,普通,2.2,自由席
羽田空港国際線ビル,139.768206,35.544169,東京モノレール,浜松町,139.756747,35.655666,東京モノレール,モノレール,空港快速,14,自由席
浜松町,139.757135,35.655391,JR東日本,上野,139.777043,35.71379,JR東日本,ＪＲ,普通,6.7,自由席
上野,139.777043,35.71379,JR東日本,池袋,139.711086,35.730256,JR東日本,ＪＲ,普通,8.7,自由席
池袋,139.711086,35.730256,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,15.4,自由席
品川,139.738999,35.62876,JR東日本,秋葉原,139.773288,35.698619,JR東日本,ＪＲ,普通,8.8,自由席
秋葉原,139.773288,35.698619,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,8.8,自由席
品川,139.738999,35.62876,JR東日本,新横浜,139.617348,35.506824,JR東日本,ＪＲ,新幹線,22,自由席
新横浜,139.617348,35.506824,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,新幹線,22,自由席
品川,139.738999,35.62876,JR東日本,秋葉原,139.773288,35.698619,JR東日本,ＪＲ,快速,8.8,自由席
秋葉原,139.773288,35.698619,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,快速,8.8,自由席
品川,139.738999,35.62876,JR東日本,成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,ＪＲ,特急,86,指定席
成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,特急,86,指定席
品川,139.738999,35.62876,JR東日本,秋葉原,139.773288,35.698619,JR東日本,ＪＲ,普通,8.8,自由席
秋葉原,139.773288,35.698619,JR東日本,上野,139.777043,35.71379,JR東日本,ＪＲ,普通,1.6,自由席
上野,139.777043,35.71379,JR東日本,秋葉原,139.773288,35.698619,JR東日本,ＪＲ,普通,1.6,自由席
秋葉原,139.773288,35.698619,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,8.8,自由席
品川,139.738999,35.62876,JR東日本,有楽町,139.763806,35.675441,JR東日本,ＪＲ,普通,6,自由席
日比谷,139.76017,35.67459,東京メトロ,築地,139.772603,35.668115,東京メトロ,地下鉄,普通,1.4,自由席
築地,139.772603,35.668115,東京メトロ,銀座,139.763965,35.671989,東京メトロ,地下鉄,普通,1,自由席
銀座,139.763965,35.671989,東京メトロ,新橋,139.758432,35.667434,東京メトロ,地下鉄,普通,0.9,自由席
新橋,139.758587,35.666195,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,4.9,自由席
品川,139.738999,35.62876,JR東日本,京都,135.757748,34.985465,JR西日本,ＪＲ,新幹線,506.8,指定席
二条城前,135.750473,35.011892,京都市交通局,京都市役所前,135.768829,35.011003,京都市交通局,地下鉄,普通,1.7,自由席
京都,135.757748,34.985465,JR西日本,姫路,134.690769,34.827659,JR西日本,ＪＲ,新幹線,130.7,指定席
姫路,134.690769,34.827659,JR西日本,広島,132.475593,34.397446,JR西日本,ＪＲ,新幹線,249.9,指定席
広島駅,132.475403,34.396296,広電,袋町,132.456214,34.391187,広電,路面電車,普通,2.6,自由席
袋町,132.456214,34.391187,広電,広島駅,132.475403,34.396296,広電,路面電車,普通,2.6,自由席
広島,132.475593,34.397446,JR西日本,博多,130.420622,33.590002,JR西日本,ＪＲ,新幹線,280.7,指定席
博多,130.420622,33.590002,JR西日本,熊本,130.688499,32.789207,JR九州,ＪＲ,新幹線,118.4,指定席
熊本駅前,130.690398,32.790377,熊本市交通局,熊本城・市役所前,130.707028,32.802967,熊本市交通局,路面電車,普通,2.8,自由席
熊本城・市役所前,130.707028,32.802967,熊本市交通局,熊本駅前,130.690398,32.790377,熊本市交通局,路面電車,普通,2.8,自由席
熊本,130.688499,32.789207,JR九州,博多,130.420622,33.590002,JR西日本,ＪＲ,新幹線,118.4,指定席
博多,130.420622,33.590002,JR九州,長崎,129.870515,32.753085,JR九州,ＪＲ,特急,153.9,自由席
長崎駅前,129.871874,32.75238,長崎電気軌道,市民会館,129.88065,32.74942,長崎電気軌道,路面電車,普通,0.9,自由席
メディカルセンター,129.87241,32.740523,長崎電気軌道,大浦天主堂,129.87078,32.736408,長崎電気軌道,路面電車,普通,0.4,自由席
大浦天主堂,129.87078,32.736408,長崎電気軌道,新地中華街,129.874942,32.742869,長崎電気軌道,路面電車,普通,0.8,自由席
新地中華街,129.874942,32.742869,長崎電気軌道,長崎駅前,129.871874,32.75238,長崎電気軌道,路面電車,普通,1.3,自由席
長崎,129.870515,32.753085,JR九州,博多,130.420622,33.590002,JR九州,ＪＲ,特急,153.9,指定席
博多,130.420622,33.590002,JR西日本,鹿児島中央,130.541789,31.583727,JR九州,ＪＲ,新幹線,288.9,指定席
鹿児島中央,130.541789,31.583727,JR九州,吉松,130.738104,32.012026,JR九州,ＪＲ,特急,68.5,指定席
吉松,130.738104,32.012026,JR九州,人吉,130.753797,32.216142,JR九州,ＪＲ,普通,35,指定席
人吉,130.753797,32.216142,JR九州,熊本,130.688499,32.789207,JR九州,ＪＲ,特急,87.5,指定席
熊本駅前,130.690398,32.790377,熊本市交通局,水道町,130.712564,32.80239,熊本市交通局,路面電車,普通,3.3,自由席
水道町,130.712564,32.80239,熊本市交通局,熊本城・市役所前,130.707028,32.802967,熊本市交通局,路面電車,普通,0.5,自由席
熊本城・市役所前,130.707028,32.802967,熊本市交通局,熊本駅前,130.690398,32.790377,熊本市交通局,路面電車,普通,2.8,自由席
熊本,130.688499,32.789207,JR九州,博多,130.420622,33.590002,JR西日本,ＪＲ,新幹線,118.4,自由席
博多,130.420622,33.590002,JR西日本,小倉,130.882678,33.886756,JR九州,ＪＲ,新幹線,67.2,自由席
小倉,130.882678,33.886756,JR九州,博多,130.420622,33.590002,JR西日本,ＪＲ,新幹線,67.2,自由席
博多,130.42085,33.590204,福岡市交通局,福岡空港,130.448501,33.59718,福岡市交通局,地下鉄,普通,3.3,自由席
空港第２ビル（第２旅客ターミナル）,140.387163,35.773693,京成,日暮里,139.771287,35.727908,京成,私鉄,空港快速,61,指定席
日暮里,139.771287,35.727908,JR東日本,池袋,139.711086,35.730256,JR東日本,ＪＲ,普通,6.5,自由席
池袋,139.711086,35.730256,JR東日本,日暮里,139.771287,35.727908,JR東日本,ＪＲ,普通,6.5,自由席
日暮里,139.771287,35.727908,JR東日本,浜松町,139.757135,35.655391,JR東日本,ＪＲ,普通,8.9,自由席
浜松町,139.756747,35.655666,東京モノレール,羽田空港国際線ビル,139.768206,35.544169,東京モノレール,モノレール,空港快速,14,自由席
羽田空港国際線ビル,139.768206,35.544169,東京モノレール,新整備場,139.786777,35.542773,東京モノレール,モノレール,普通,2.2,自由席
新整備場,139.786777,35.542773,東京モノレール,羽田空港国際線ビル,139.768206,35.544169,東京モノレール,モノレール,普通,2.2,自由席
成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,特急,79.2,指定席
東京,139.766103,35.681391,JR東日本,仙台,140.882158,38.260027,JR東日本,ＪＲ,新幹線,351.8,指定席
仙台,140.882158,38.260027,JR東日本,松島海岸,141.058523,38.368529,JR東日本,ＪＲ,普通,22.7,自由席
